alcohol	chlorides	citric acid	density	fixed acidity	free sulfur dioxide	pH	quality	residual sugar	sulphates	total sulfur dioxide	type	volatile acidity
9.4	0.076	0	0.9978	7.4	11	3.51	5	1.9	0.56	34	0	0.7
9.8	0.092	0.04	0.997	7.8	15	3.26	5	2.3	0.65	54	0	0.76
9.4	0.069	0.06	0.9964	7.9	15	3.3	5	1.6	0.46	59	0	0.6
10.5	0.071	0.36	0.9978	7.5	17	3.35	5	6.1	0.8	102	0	0.5
10.5	0.071	0.36	0.9978	7.5	17	3.35	5	6.1	0.8	102	0	0.5
9.9	0.089	0	0.9943	5.6	16	3.58	5	1.6	0.52	59	0	0.615
9.1	0.114	0.29	0.9974	7.8	9	3.26	5	1.6	1.56	29	0	0.61
9.3	0.08	0.16	0.9955	6.3	11	3.34	5	1.4	0.56	23	0	0.39
9.5	0.106	0.21	0.9966	7.9	10	3.17	5	1.6	0.91	37	0	0.43
9.8	0.083	0.12	0.9966	8.3	15	3.17	5	2.3	0.66	113	0	0.655
9.6	0.086	0	0.9986	7.8	5	3.4	6	5.5	0.55	18	0	0.645
10.8	0.086	0.14	0.9975	7.8	3	3.42	6	2.4	0.6	15	0	0.6
9.3	0.088	0.3	0.9976	8.8	17	3.26	4	2.8	0.51	46	0	0.61
13.1	0.054	0.15	0.9934	4.6	8	3.9	4	2.1	0.56	65	0	0.52
9.2	0.114	0.43	0.997	7.7	22	3.25	5	2.2	0.73	114	0	0.935
9.5	0.076	0.08	0.9967	7.7	15	3.32	6	1.9	0.54	27	0	0.63
10.7	0.104	0	0.9966	6.8	14	3.52	6	2.4	0.55	30	0	0.785
9.9	0.11	0.28	0.9972	8.6	20	2.93	6	1.9	1.95	136	0	0.49
9.8	0.11	0.29	0.9972	8.6	19	2.93	5	2	1.98	133	0	0.49
10.7	0.102	0	0.9965	6.8	8	3.45	5	3	0.56	23	0	0.775
9.2	0.077	0.22	0.9967	8.1	12	3.29	5	2.1	0.51	65	0	0.575
9.6	0.091	0.53	0.9976	8	18	3.37	6	2.5	0.8	80	0	0.33
9.5	0.104	0.19	0.9964	7.8	12	3.19	5	1.8	0.93	47	0	0.56
9.5	0.104	0.19	0.9964	7.8	12	3.19	5	1.8	0.93	47	0	0.56
10.9	0.081	0	0.9964	8.2	3	3.53	5	1.7	0.49	12	0	1.33
9.4	0.118	0.56	0.9968	8	30	3.24	5	2	0.66	134	0	0.745
9.5	0.089	0.15	0.9968	8.3	10	3.23	5	1.8	0.77	52	0	0.715
9.3	0.236	0.26	0.9968	7.6	10	3.11	5	1.6	0.8	88	0	0.49
10.3	0.077	0.47	0.9958	7.3	5	3.33	6	2.1	0.53	11	0	0.33
10.5	0.071	0.42	0.9973	7.1	28	3.42	5	5.5	0.71	128	0	0.43
10.5	0.07	0.42	0.9973	7.1	29	3.42	5	5.5	0.72	129	0	0.43
10.5	0.071	0.42	0.9973	7.1	28	3.42	5	5.5	0.71	128	0	0.43
10	0.076	0.04	0.9964	7.8	17	3.33	6	1.7	0.56	31	0	0.53
10.4	0.089	0.07	0.9953	6.8	11	3.47	6	2.1	0.55	44	0	0.63
9.5	0.36	0.24	0.9964	7.5	15	3	5	1.8	1.59	63	0	0.705
11.5	0.068	0.05	0.9961	7.4	24	3.42	6	1.9	0.57	42	0	0.62
9.6	0.068	0	0.9969	7	7	3.48	5	2.5	0.56	20	0	0.805
9.5	0.067	0.14	0.9969	8.8	10	3.19	5	2.4	0.59	42	0	0.61
9.3	0.076	0.02	0.9972	7.2	16	3.44	5	2.5	0.52	42	0	0.73
9.2	0.082	0.48	0.9972	7.4	14	3.34	5	2	0.55	67	0	0.39
9.2	0.089	0.36	0.99615	7	14	3.34	6	1.6	0.56	37	0	0.43
9.4	0.1	0.28	0.9966	7.8	18	3.22	5	2.7	0.67	95	0	0.44
10.5	0.054	0.58	0.998	11	7	3.31	7	2.1	0.88	19	0	0.3
9.7	0.076	0.19	0.9957	7.5	10	3.39	5	1.9	0.54	44	0	0.49
9.8	0.089	0.14	0.9984	9	9	3.39	5	2.6	0.63	23	0	0.82
11	0.081	0.25	0.99685	6.9	10	3.46	5	2.6	0.5	37	0	0.52
9.8	0.102	0.1	0.99565	7.7	28	3.08	6	1.8	0.49	109	0	0.58
9.5	0.075	0.07	0.99685	7.1	16	3.38	5	1.9	0.52	51	0	0.68
9.3	0.072	0.17	0.9963	8.2	11	3.2	5	2.3	0.45	73	0	0.6
10	0.063	0.44	0.9985	10.8	16	3.22	6	1.6	0.78	37	0	0.32
9.3	0.073	0.23	0.99675	8	17	3.26	5	3.2	0.57	119	0	0.57
